CUST_ID,BP_ROLE,EMAIL_ADDRESS,PHONE_NUMBER,FAX_NUMBER,WEB_ADDRESS,BP_ID,COMPANY_NAME,ADDRESS_GUID_ADDRESS_ID
C000000012,1,sonia26@hotmail.com,+1-116-116-2076x60754,+1-511-505-5203,https://www.barry.com/,5e7f503c-4b13-47f6-81d6-d903bf7b68ae,Johnson JacobsandVillarreal,A000000012
C000000013,1,wrodriguez@haley.com,+1-744-852-9118x94262,+1-358-332-4560,http://www.miller-jones.biz/,bdaa3bfa-6ab0-4563-8cff-bbb14ca49aaf,GarzaLLC,A000000013
C000000014,2,wrightcynthia@hotmail.com,+1-066-065-7354x71214,+1-892-762-6623,https://thomas.info/,0078cb12-4b73-40d1-b421-beafc149fa8e,Cole MurrayandRobinson,A000000014
C000000015,1,amy26@potter.com,,+1-001-671-454-3910,http://ferguson-wilson.com/,29deb984-c312-47fd-ab83-af16e404d808,PerryLLC,A000000015
C000000016,2,audreyburton@hotmail.com,+1-686-447-5922,+1-166-972-8457,https://www.burns-mason.info/,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,Thomas-Simpson,A000000016
C000000017,1,kellypeter@mathis.com,+1-605-019-0443x29431,+1-756-256-6272x85232,https://simmons-vasquez.com/,f0a61c5e-7074-41d4-b239-d04bcbab5b51,WillisInc,A000000017
C000000018,1,youngchristopher@gmail.com,+1-023-949-1845x670,+1-886-977-4735x4000,http://roberts.com/,ae358290-6d80-4b08-8963-d148104dff66,ArellanoGroup,A000000018
C000000019,2,mlee@obrien.com,+1-875-408-0351x38533,+1-448-647-5304x810,https://kim.info/,15eae9d2-1e3d-49d0-b0aa-f52575e417dd,AllenandSons,A000000019
C000000020,2,scottjones@yahoo.com,,+1-184-983-4789x78443,http://www.logan.com/,bc6ff6ac-e139-415d-88d8-b9ef37d316a4,Smith NicholsandPatterson,A000000020
C000000021,1,cruzjoseph@cunningham.net,+1-433-184-5357x49220,,http://www.harrington.org/,36a52df9-f824-4e70-b219-4ff3c46ac0d6,OconnorandSons,A000000021
C000000022,2,charlotte27@gmail.com,+1-089-577-4038x277,,http://www.edwards.com/,ab1e6794-70f2-497a-9ceb-201357d9af8d,Keller PerezandCooper,A000000022
C000000023,2,andre98@oconnor.com,+1-700-300-3510,+1-623-762-5425x660,https://schmidt.info/,ebe7ef91-9092-4b69-8abc-847ec2537638,OrtizGroup,A000000023
C000000024,2,masonchristy@palmer.com,+1-230-282-1691,+1-729-904-5600x715,https://www.young-kelly.biz/,7e083c1b-cda6-4326-8514-37d6566ff3ec,Smith-Moreno,A000000024
C000000025,1,xmadden@hotmail.com,+1-840-761-6570,+1-404-943-8856,https://www.knight.com/,88644581-b857-4478-ac82-5818960da788,Hutchinson MartinandParrish,A000000025
C000000026,2,meghan09@cunningham.com,+1-457-696-2029x0725,+1-749-318-6428,http://www.fowler.net/,6f446806-c137-4e75-a27b-9de79ae445e0,Collins-Smith,A000000026
C000000027,2,amanda85@yahoo.com,+1-620-829-6570,,http://www.snow.biz/,3c9a9236-72bb-47b3-92b9-573113f2dc86,Reeves ShieldsandJacobson,A000000027
C000000028,2,frankmclean@walters-shepard.com,+1-595-140-7043x66660,+1-759-294-5067,http://www.knight.com/,b7a02afd-30d6-463f-91c2-72d801267789,PowersGroup,A000000028
C000000029,1,sarah05@whitehead-joyce.com,+1-292-648-0222x70808,+1-625-911-8243x454,https://sherman.net/,95e38180-a1ee-491a-89e1-c3b0271f2772,MayInc,A000000029
C000000030,1,leekrystal@hotmail.com,+1-782-527-8081,+1-501-169-5975x68512,https://www.gross.com/,0b4cba0a-317e-4b1d-9b83-acd5e2ccddd8,Brewer-Hale,A000000030
C000000031,1,burkelaura@gmail.com,+1-160-759-9449x762,+1-743-615-1105,http://www.gilbert-valdez.com/,8dd6650f-ca6e-47ce-b4db-99f352a33c33,Savage CrawfordandMiller,A000000031
C000000032,2,qgibbs@wong.com,+1-517-028-4006x52822,+1-239-507-6033,https://burch.com/,7680891b-6bb6-404e-a0db-22d329e316ad,Walter-Taylor,A000000032
C000000033,1,sarahsmith@higgins-jackson.com,+1-580-001-992,+1-260-669-5325x83861,http://hopkins.biz/,399bcb79-61ba-4a39-b89c-3c723ee29e68,Allen-Olson,A000000033
C000000034,2,whitney85@johnson.com,+1-095-618-0260x666,+1-797-225-7629,https://www.reed-fuller.info/,0dccbbed-c0e0-455b-84ca-a7c8a1595b4f,WileyLLC,A000000034
C000000035,2,kenneth04@reynolds.com,+1-221-952-0696x711,+1-688-222-3230x82759,https://wilson.biz/,e63317c3-4303-42c7-9cfb-de0ac5fee487,PetersonPLC,A000000035
C000000036,1,rhondarollins@hotmail.com,,+1-220-998-1399,http://dennis.com/,5cb6f1f0-e475-4694-9d8a-c1a902af3382,Castillo RodriguezandChavez,A000000036
C000000037,2,oburnett@gmail.com,,+1-640-926-2790x619,https://hunter.com/,44c8fd00-1a0f-4218-9eb8-83257add8fed,Henry NewmanandKennedy,A000000037
C000000038,1,ambermoore@decker.com,+1-696-814-7314x2512,+1-029-830-0689x71785,https://www.smith.com/,7ee1a2a3-024b-4e48-b980-71b14642cddb,Arroyo-Hicks,A000000038
C000000039,1,jonesashley@gmail.com,+1-562-343-7546x9216,+1-873-556-4564x174,http://cooper.com/,7fd2770a-568d-4f3e-b4b4-45aaedfda291,RodriguezGroup,A000000039
C000000040,1,kpalmer@hotmail.com,+1-684-735-8017,+1-636-090-6143x52125,http://www.smith.com/,9aca0c4a-d24e-4104-9dd2-6234213124bd,Donovan GonzalezandFigueroa,A000000040
C000000041,1,meyerchristine@jones-thompson.com,+1-667-063-6094,+1-955-572-9814,http://www.johnson-thomas.com/,f9d2b2de-92bb-4701-b503-c56e61002dbd,Flores FisherandMason,A000000041
C000000042,1,cmartinez@white-kelley.com,+1-461-985-3735x76070,,https://valdez-greene.com/,af3b5a91-85ba-4545-94e2-6a5bf807cdd9,LopezPLC,A000000042
C000000043,2,moorebenjamin@trujillo.com,+1-732-605-8352x88996,+1-979-397-0379,https://www.williams.com/,9c272c51-ac98-4368-9fc8-b87a7176d181,GuerreroInc,A000000043
C000000044,1,nicole57@hotmail.com,+1-258-576-7571,+1-312-678-3500,https://www.nash.org/,8a74bec5-6951-443e-8a6c-b87cdfb87708,SchultzLtd,A000000044
C000000045,1,iparker@jones.com,+1-695-410-3909,+1-527-419-7436x68539,https://www.moore.org/,f489362c-1034-4193-bc2b-940d9045a445,Mendoza FloresandDaniel,A000000045
C000000046,2,hamiltonelizabeth@gill.com,+1-630-446-1545x938,,http://austin.com/,854ca896-1aac-4ca1-920c-904e4063d525,CallahanPLC,A000000046
C000000047,2,yjohnson@reed.com,+1-363-975-2458,+1-375-248-0154,https://www.carr.com/,faa2cbad-467a-4bdf-b63c-1dd82a9e9a38,HuntLLC,A000000047
C000000048,1,perryamanda@yahoo.com,+1-197-524-3640,+1-415-584-038,http://brown.com/,e9184b9f-5010-49e2-b367-dbe240e3469f,Burns ColeandMartinez,A000000048
